task,step,num_questions,metric,delta_pp,lower_95_pp,upper_95_pp
math500,200,500,avg_at_8,-0.525,-1.575,0.5499999999999999
math500,200,500,pass_at_8,-0.4,-2.4,1.6
aime24,200,30,avg_at_8,-2.9166666666666665,-7.083333333333333,0.8333333333333334
aime24,200,30,pass_at_8,3.3333333333333335,-6.666666666666667,13.333333333333334
aime25,200,30,avg_at_8,0.4166666666666667,-2.9166666666666665,3.75
aime25,200,30,pass_at_8,0.0,-13.333333333333334,13.333333333333334
amc23,200,83,avg_at_8,-3.0120481927710845,-6.174698795180722,0.30120481927710846
amc23,200,83,pass_at_8,-2.4096385542168677,-10.843373493975903,6.024096385542169
math500,150,500,avg_at_8,1.8499999999999999,0.7000000000000001,3.0
math500,150,500,pass_at_8,-0.2,-2.1999999999999997,1.7999999999999998
aime24,150,30,avg_at_8,2.9166666666666665,0.4166666666666667,5.833333333333333
aime24,150,30,pass_at_8,6.666666666666667,0.0,16.666666666666664
aime25,150,30,avg_at_8,-4.166666666666666,-9.583333333333334,0.8333333333333334
aime25,150,30,pass_at_8,-13.333333333333334,-26.666666666666668,-3.3333333333333335
amc23,150,83,avg_at_8,0.30120481927710846,-3.0120481927710845,3.463855421686747
amc23,150,83,pass_at_8,0.0,-6.024096385542169,7.228915662650602
math500,100,500,avg_at_8,-1.4000000000000001,-2.5749999999999997,-0.25
math500,100,500,pass_at_8,0.4,-1.2,2.0
aime24,100,30,avg_at_8,2.083333333333333,-1.6666666666666667,6.25
aime24,100,30,pass_at_8,3.3333333333333335,-6.666666666666667,13.333333333333334
aime25,100,30,avg_at_8,1.25,-2.083333333333333,4.166666666666666
aime25,100,30,pass_at_8,10.0,-3.3333333333333335,23.333333333333332
amc23,100,83,avg_at_8,-1.957831325301205,-5.120481927710843,1.2048192771084338
amc23,100,83,pass_at_8,-3.614457831325301,-9.63855421686747,2.4096385542168677
math500,50,500,avg_at_8,-0.125,-1.125,0.8999999999999999
math500,50,500,pass_at_8,-0.4,-1.7999999999999998,1.0
aime24,50,30,avg_at_8,-3.75,-8.333333333333332,0.4166666666666667
aime24,50,30,pass_at_8,-6.666666666666667,-16.666666666666664,0.0
aime25,50,30,avg_at_8,-1.25,-4.583333333333333,2.083333333333333
aime25,50,30,pass_at_8,0.0,-10.0,10.0
amc23,50,83,avg_at_8,1.8072289156626504,-1.957831325301205,5.572289156626506
amc23,50,83,pass_at_8,-3.614457831325301,-10.843373493975903,3.614457831325301
