task,variant,step,status,avg_at_8,pass_at_8,format_error_rate,engine_truncation_ratio
math500,block3_mean,200,accepted,0.754,0.906,0.009,0.009
math500,block3_mean,150,accepted,0.78025,0.912,0.00825,0.00825
math500,block3_mean,100,accepted,0.75525,0.908,0.0125,0.01175
math500,block3_mean,50,accepted,0.78525,0.918,0.0085,0.0075
aime24,block3_mean,200,accepted,0.13333333333333333,0.3333333333333333,0.12083333333333333,0.1125
aime24,block3_mean,150,accepted,0.15416666666666667,0.3333333333333333,0.09583333333333334,0.0875
aime24,block3_mean,100,accepted,0.15,0.3,0.1375,0.12083333333333333
aime24,block3_mean,50,accepted,0.14166666666666666,0.3,0.07083333333333333,0.0625
aime25,block3_mean,200,accepted,0.1375,0.3,0.041666666666666664,0.03333333333333333
aime25,block3_mean,150,accepted,0.11666666666666667,0.26666666666666666,0.05416666666666667,0.05416666666666667
aime25,block3_mean,100,accepted,0.12083333333333333,0.3333333333333333,0.075,0.0625
aime25,block3_mean,50,accepted,0.11666666666666667,0.23333333333333334,0.075,0.05416666666666667
amc23,block3_mean,200,accepted,0.4623493975903614,0.7469879518072289,0.045180722891566265,0.04066265060240964
amc23,block3_mean,150,accepted,0.49698795180722893,0.7710843373493976,0.03463855421686747,0.030120481927710843
amc23,block3_mean,100,accepted,0.47289156626506024,0.7469879518072289,0.0391566265060241,0.030120481927710843
amc23,block3_mean,50,accepted,0.5030120481927711,0.7469879518072289,0.043674698795180725,0.03313253012048193
math500,token_opd,200,accepted,0.75925,0.91,0.0085,0.008
math500,token_opd,150,accepted,0.76175,0.914,0.0095,0.00975
math500,token_opd,100,accepted,0.76925,0.904,0.01075,0.0095
math500,token_opd,50,accepted,0.7865,0.922,0.0085,0.008
aime24,token_opd,200,accepted,0.1625,0.3,0.07916666666666666,0.06666666666666667
aime24,token_opd,150,accepted,0.125,0.26666666666666666,0.10416666666666667,0.08333333333333333
aime24,token_opd,100,accepted,0.12916666666666668,0.26666666666666666,0.12083333333333333,0.09166666666666666
aime24,token_opd,50,accepted,0.17916666666666667,0.36666666666666664,0.10416666666666667,0.0875
aime25,token_opd,200,accepted,0.13333333333333333,0.3,0.0375,0.03333333333333333
aime25,token_opd,150,accepted,0.15833333333333333,0.4,0.05416666666666667,0.0625
aime25,token_opd,100,accepted,0.10833333333333334,0.23333333333333334,0.058333333333333334,0.05416666666666667
aime25,token_opd,50,accepted,0.12916666666666668,0.23333333333333334,0.07083333333333333,0.041666666666666664
amc23,token_opd,200,accepted,0.4924698795180723,0.7710843373493976,0.03614457831325301,0.030120481927710843
amc23,token_opd,150,accepted,0.4939759036144578,0.7710843373493976,0.025602409638554216,0.0286144578313253
amc23,token_opd,100,accepted,0.4924698795180723,0.7831325301204819,0.025602409638554216,0.025602409638554216
amc23,token_opd,50,accepted,0.48493975903614456,0.7831325301204819,0.03162650602409638,0.030120481927710843
