pair,status,phase,student_correct_rate,teacher_correct_rate,gain,ci95_low,ci95_high,teacher_length_stop_rate,teacher_missing_boxed_rate,native_direct_correct_rate
b4_b06,rejected,direct,0.015625,0.125,0.109375,0.046875,0.171875,0.0234375,0.0546875,0.125
b4_b06,rejected,continuation,0.03125,0.015625,-0.015625,-0.09375,0.046875,0.109375,0.171875,0.125
i4_i06,passed,direct,0.0859375,0.4921875,0.40625,0.296875,0.515625,0.0,0.0,0.4921875
i4_i06,passed,continuation,0.15625,0.328125,0.171875,0.0625,0.296875,0.0,0.0,0.4921875
g4_b06,rejected,direct,0.015625,0.328125,0.3125,0.21875,0.40625,0.0390625,0.046875,0.4765625
g4_b06,rejected,continuation,0.03125,0.109375,0.078125,0.0,0.171875,0.171875,0.21875,0.4765625
g4_i06,rejected,direct,0.0859375,0.4765625,0.390625,0.28125,0.5,0.0390625,0.046875,0.4765625
g4_i06,rejected,continuation,0.15625,0.296875,0.140625,0.03125,0.265625,0.0625,0.046875,0.4765625
i8_i06,passed,direct,0.0859375,0.46875,0.3828125,0.28125,0.484375,0.0078125,0.0078125,0.46875
i8_i06,passed,continuation,0.15625,0.40625,0.25,0.109375,0.40625,0.0,0.0,0.46875
b8_b06,rejected,direct,0.015625,0.125,0.109375,0.046875,0.1796875,0.015625,0.046875,0.125
b8_b06,rejected,continuation,0.03125,0.09375,0.0625,-0.015625,0.171875,0.15625,0.15625,0.125
i8_b06,rejected,direct,0.015625,0.578125,0.5625,0.4609375,0.6640625,0.921875,0.296875,0.46875
i8_b06,rejected,continuation,0.03125,0.5,0.46875,0.3125,0.625,0.953125,0.375,0.46875
b8_i06,rejected,direct,0.0859375,0.2421875,0.15625,0.078125,0.2421875,0.078125,0.203125,0.125
b8_i06,rejected,continuation,0.15625,0.25,0.09375,-0.015625,0.203125,0.078125,0.078125,0.125
