model,benchmark,num_examples,num_rollouts,avg_at_8,pass_at_8,generated_think_tag_count,format_error_rollouts,format_error_rate,engine_length_stop_rollouts,engine_truncation_ratio,mean_generated_tokens
block3_mean_step100,math500,500,4000,0.7255,0.91,0,7,0.00175,7,0.00175,1148.16075
block3_mean_step100,aime24,30,240,0.1625,0.36666666666666664,0,7,0.029166666666666667,8,0.03333333333333333,4366.575
block3_mean_step100,aime25,30,240,0.13333333333333333,0.3333333333333333,0,0,0.0,0,0.0,3435.8958333333335
block3_mean_step100,amc23,83,664,0.4442771084337349,0.6867469879518072,0,3,0.004518072289156626,3,0.004518072289156626,2495.847891566265
block3_mean_step150,math500,500,4000,0.72625,0.916,0,5,0.00125,7,0.00175,1199.2355
block3_mean_step150,aime24,30,240,0.13333333333333333,0.3,0,2,0.008333333333333333,4,0.016666666666666666,4390.145833333333
block3_mean_step150,aime25,30,240,0.12083333333333333,0.36666666666666664,0,2,0.008333333333333333,2,0.008333333333333333,3881.9875
block3_mean_step150,amc23,83,664,0.4683734939759036,0.7469879518072289,0,1,0.0015060240963855422,1,0.0015060240963855422,2600.4457831325303
block3_mean_step200,math500,500,4000,0.72225,0.898,0,6,0.0015,6,0.0015,1194.138
block3_mean_step200,aime24,30,240,0.16666666666666666,0.36666666666666664,0,5,0.020833333333333332,6,0.025,4203.095833333334
block3_mean_step200,aime25,30,240,0.12916666666666668,0.3,0,0,0.0,0,0.0,3633.3875
block3_mean_step200,amc23,83,664,0.43373493975903615,0.7469879518072289,0,0,0.0,0,0.0,2564.1039156626507
block3_mean_step50,math500,500,4000,0.715,0.89,0,6,0.0015,6,0.0015,1200.11025
block3_mean_step50,aime24,30,240,0.125,0.26666666666666666,0,7,0.029166666666666667,7,0.029166666666666667,4382.083333333333
block3_mean_step50,aime25,30,240,0.09583333333333334,0.16666666666666666,0,2,0.008333333333333333,3,0.0125,3740.4166666666665
block3_mean_step50,amc23,83,664,0.4367469879518072,0.7349397590361446,0,2,0.0030120481927710845,2,0.0030120481927710845,2407.4503012048194
student_base,math500,500,4000,0.7145,0.912,0,6,0.0015,7,0.00175,889.7565
student_base,aime24,30,240,0.1,0.26666666666666666,0,3,0.0125,3,0.0125,2833.2083333333335
student_base,aime25,30,240,0.10416666666666667,0.23333333333333334,0,0,0.0,0,0.0,2455.5583333333334
student_base,amc23,83,664,0.40512048192771083,0.6987951807228916,0,0,0.0,0,0.0,1690.933734939759
token_opd_step100,math500,500,4000,0.72925,0.89,0,5,0.00125,5,0.00125,1134.766
token_opd_step100,aime24,30,240,0.15,0.3,0,10,0.041666666666666664,11,0.04583333333333333,4417.445833333333
token_opd_step100,aime25,30,240,0.12083333333333333,0.3,0,0,0.0,0,0.0,3461.425
token_opd_step100,amc23,83,664,0.4397590361445783,0.6987951807228916,0,3,0.004518072289156626,5,0.007530120481927711,2400.7861445783133
token_opd_step150,math500,500,4000,0.72475,0.906,0,11,0.00275,10,0.0025,1164.9895
token_opd_step150,aime24,30,240,0.15416666666666667,0.3,0,5,0.020833333333333332,5,0.020833333333333332,4225.925
token_opd_step150,aime25,30,240,0.1,0.26666666666666666,0,0,0.0,1,0.004166666666666667,3547.2458333333334
token_opd_step150,amc23,83,664,0.4382530120481928,0.7108433734939759,0,2,0.0030120481927710845,2,0.0030120481927710845,2410.4081325301204
token_opd_step200,math500,500,4000,0.72125,0.896,0,5,0.00125,7,0.00175,1147.28675
token_opd_step200,aime24,30,240,0.14166666666666666,0.43333333333333335,0,4,0.016666666666666666,4,0.016666666666666666,4173.891666666666
token_opd_step200,aime25,30,240,0.12083333333333333,0.3,0,1,0.004166666666666667,1,0.004166666666666667,3822.5208333333335
token_opd_step200,amc23,83,664,0.4307228915662651,0.7590361445783133,0,4,0.006024096385542169,4,0.006024096385542169,2386.6822289156626
token_opd_step50,math500,500,4000,0.72475,0.906,0,3,0.00075,2,0.0005,1189.32925
token_opd_step50,aime24,30,240,0.13333333333333333,0.3333333333333333,0,7,0.029166666666666667,9,0.0375,4480.820833333333
token_opd_step50,aime25,30,240,0.0875,0.26666666666666666,0,1,0.004166666666666667,1,0.004166666666666667,3787.8333333333335
token_opd_step50,amc23,83,664,0.45481927710843373,0.7349397590361446,0,1,0.0015060240963855422,1,0.0015060240963855422,2484.600903614458
